date,interest_income,interest_expense,average_earning_assets,net_income,total_assets,shareholder_equity,operating_expenses,operating_income,market_share,stock_price,net_interest_income,net_interest_margin,return_on_assets,return_on_equity,cost_to_income_ratio
2022-01-03,2121958.0,773237.0,55001045.0,1572212.0,95404302.0,23496605.0,811672.0,3494178.0,24.0,128.0,1348721.0,2.45,1.65,6.69,23.23
2022-01-04,2671155.0,518070.0,54463418.0,1336326.0,86440010.0,24948600.0,1030817.0,3231496.0,20.0,63.0,2153085.0,3.95,1.55,5.36,31.9
2022-01-05,2131932.0,797921.0,59771802.0,1224137.0,88674163.0,26416438.0,1345961.0,3692148.0,22.0,196.0,1334011.0,2.23,1.38,4.63,36.45
2022-01-06,2365838.0,556958.0,54345760.0,1452268.0,97221407.0,29694095.0,1289921.0,4779685.0,14.0,177.0,1808880.0,3.33,1.49,4.89,26.99
2022-01-07,2259178.0,1746222.0,57153768.0,3858336.0,98279553.0,25311499.0,1432303.0,4764985.0,10.0,103.0,512956.0,0.9,3.93,15.24,30.06
2022-01-10,2644167.0,510729.0,53251298.0,1297881.0,83486669.0,20308623.0,1320399.0,4897501.0,21.0,197.0,2133438.0,4.01,1.55,6.39,26.96
2022-01-11,2110268.0,730785.0,54465150.0,1363476.0,94994515.0,23647371.0,1106140.0,3560315.0,20.0,78.0,1379483.0,2.53,1.44,5.77,31.07
2022-01-12,2732180.0,676089.0,58389012.0,1351707.0,83722946.0,23296903.0,769286.0,3879979.0,26.0,73.0,2056091.0,3.52,1.61,5.8,19.83
2022-01-13,2054886.0,697392.0,57249903.0,1684733.0,89874813.0,29579010.0,793269.0,3173921.0,13.0,131.0,1357494.1,2.37,1.87,5.7,24.99
2022-01-14,2137337.0,658823.0,54897590.0,1510585.0,91254507.0,25998223.0,958635.0,4935135.0,24.0,112.0,1478513.9,2.69,1.66,5.81,19.42
2022-01-18,2999890.0,999616.0,56189573.0,1691757.0,80224695.0,21147116.0,774071.0,3673218.0,18.0,154.0,2000273.9,3.56,2.11,8.0,21.07
2022-01-19,2521430.0,605864.0,51323483.0,1390719.0,91370075.0,23772763.0,1150542.0,4788098.0,29.0,106.0,1915566.1,3.73,1.52,5.85,24.03
2022-01-20,2954698.0,893002.0,51722320.0,1479361.0,94063918.0,26478450.0,921095.0,3603291.0,28.0,185.0,2061696.0,3.99,1.57,5.59,25.56
2022-01-21,2087498.0,709141.0,52332517.0,1101371.0,95388755.0,20310375.0,1213317.0,3707755.0,28.0,111.0,1378357.0,2.63,1.15,5.42,32.72
2022-01-24,2899159.0,998863.0,53196340.0,1562997.0,89799314.0,22126453.0,730651.0,3564046.0,21.0,66.0,1900296.0,3.57,1.74,7.06,20.5
2022-01-25,2912756.0,867654.0,58551881.0,1192192.0,83340216.0,21271300.0,770202.0,3316456.0,14.0,115.0,2045102.1,3.49,1.43,5.6,23.22
2022-01-26,2175203.0,554748.0,55387408.0,1150322.0,93245696.0,25238631.0,748777.0,4379390.0,19.0,55.0,1620455.0,2.93,1.23,4.56,17.1
